megaraid_sas,06.506.00.00-rc1,version,
mptsas,4.28.00.00,version,
lpfc,0:8.3.7.33,version,
bnx2x,1.76.58,version,
megaraid,2.00.4,version,
enic,2.1.1.39-1,version,
bnx2i,2.7.8.2b,version,
qla4xxx,5.03.00-k9,version,
be2net,4.9.230.0,version,
bfa,3.2.1.1,version,
hpsa,3.2.0-3,version,
cxgb4,2.0.0-ko,version,
cxgb3,1.6.0.4,version,
igb,5.0.3-k,version,
igbvf,2.0.4,version,
qlcnic,5.2.42,version,
mlx4_en,2.1.3,version,(\d+\.\d+\.*\d*\.*\d*)
tg3,3.124c,version,
e100,3.5.24-k2-NAPI,version,
qla2xxx,8.05.00.03-k,version,
fnic,1.5.0.41,version,
cnic,2.5.18b,version,
cxgb3i,2.0.0,version,
bnx2,2.2.4d,version,
ixgbe,3.14.5,version,
ixgbevf,2.7.12,version,
vxge,2.5.2.22572-r-p3.5.0.1,version,(\d+\.\d+\.\d+)
bna,3.2.1.1,version,
e1000,8.0.35-NAPI,version,
mpt2sas,16.00.00.00,version,
ixgb,1.0.135-k2-NAPI,version,
e1000e,2.3.2-NAPI,version,
be2iscsi,10.0.467.0,description,Driver (\d+\.\d+\.\d+\.\d+)
qlge,v1.00.00.32,version,
netxen_nic,4.0.80,version,
cciss,4.6.28-19,version,
mlx4_core,1.1,version,
mppVhba,09.03.0C05.0642,version,
sfc,3.2.1.6079,version,(\d+\.\d+\.\d+)
isci,1.1.0,version,
